Discriminator ID,Birth,Death
337,337.0,136373.0,138466.0
338,338.0,136396.0,141268.0
339,339.0,136397.0,145952.0
340,340.0,136417.0,140964.0
341,341.0,136461.0,138467.0
342,342.0,136507.0,137508.0
343,343.0,136553.0,142826.0
344,344.0,136655.0,145959.0
345,345.0,136869.0,138410.0
346,346.0,136921.0,138463.0
347,347.0,137156.0,138157.0
348,348.0,137157.0,145961.0
349,349.0,137172.0,140974.0
350,350.0,137210.0,138436.0
351,351.0,137219.0,138447.0
352,352.0,137258.0,138461.0
353,353.0,137429.0,138430.0
354,354.0,137538.0,150429.0
355,355.0,138261.0,145994.0
356,356.0,138277.0,140199.0
357,357.0,139599.0,140600.0
358,358.0,139819.0,141189.0
359,359.0,140025.0,141213.0
360,360.0,140056.0,141229.0
361,361.0,140057.0,141253.0
362,362.0,140063.0,141083.0
363,363.0,140097.0,145955.0
364,364.0,140110.0,141128.0
365,365.0,140287.0,141295.0
366,366.0,140289.0,141292.0
367,367.0,140295.0,141367.0
368,368.0,140303.0,141360.0
369,369.0,140367.0,141379.0
370,370.0,140376.0,141378.0
371,371.0,140379.0,150424.0
372,372.0,140383.0,141388.0
373,373.0,140532.0,141533.0
374,374.0,140562.0,145956.0
375,375.0,140570.0,143141.0
376,376.0,140589.0,142200.0
377,377.0,140595.0,141641.0
378,378.0,140612.0,142196.0
379,379.0,141200.0,142223.0
380,380.0,141225.0,142249.0
381,381.0,141282.0,145122.0
382,382.0,141431.0,145990.0
383,383.0,141513.0,142514.0
384,384.0,141613.0,145899.0
385,385.0,141615.0,145539.0
386,386.0,141633.0,146006.0
387,387.0,141849.0,142865.0
388,388.0,141850.0,145966.0
389,389.0,141878.0,145012.0
390,390.0,142029.0,143030.0
391,391.0,142248.0,145231.0
392,392.0,142294.0,143295.0
393,393.0,142479.0,145854.0
394,394.0,142532.0,150408.0
395,395.0,142555.0,146003.0
396,396.0,142664.0,143666.0
397,397.0,142670.0,143671.0
398,398.0,142988.0,143989.0
399,399.0,143058.0,145500.0
400,400.0,143175.0,145993.0
401,401.0,143204.0,144262.0
402,402.0,143274.0,145856.0
403,403.0,143507.0,145565.0
404,404.0,143543.0,144544.0
405,405.0,143831.0,145247.0
406,406.0,144070.0,147099.0
407,407.0,144259.0,145260.0
408,408.0,144368.0,145497.0
409,409.0,144553.0,145555.0
410,410.0,144565.0,145853.0
411,411.0,144994.0,145995.0
412,412.0,146157.0,150168.0
413,413.0,146220.0,150012.0
414,414.0,146229.0,147230.0
415,415.0,146247.0,150069.0
416,416.0,146271.0,147874.0
417,417.0,146971.0,150307.0
418,418.0,146980.0,150455.0
